CODCLAVECIC,FECHA,HORA,CANTIDAD,PRECIO
70325,01/03/22,09:39:25,10000.0,140.0
23136591,01/03/22,09:40:15,1500382.18,109.0
1157565,01/03/22,09:40:19,200000.0,50.0
13208041,01/03/22,09:40:45,30000.0,680.0
1175857,01/03/22,09:41:01,12000.0,700.0
6893466,01/03/22,09:41:54,30000.0,610.0
11298245,01/03/22,09:41:59,18000.0,700.0
19290834,01/03/22,09:42:06,25000.0,260.0
4498241,01/03/22,09:42:19,10000.0,110.0
13006892,01/03/22,09:42:52,15000.0,230.0
6936968,01/03/22,09:43:34,16000.0,560.0
26610655,01/03/22,09:43:42,100000.0,170.0
91262,01/03/22,09:44:14,10000.0,190.0
26923,01/03/22,09:44:26,16000.0,60.0
71002,01/03/22,09:44:43,100000.0,20.0
22680361,01/03/22,09:45:13,14230.0,420.0
1937080,01/03/22,09:45:45,10000.0,570.0
15644,01/03/22,09:45:49,28000.0,170.0
2393182,01/03/22,09:46:34,300000.0,150.0
61626,01/03/22,09:47:27,12000.0,250.0
3273444,01/03/22,09:47:50,75000.0,40.0
5481007,01/03/22,09:48:31,100000.0,30.0
55501,01/03/22,09:49:15,8500.0,410.0
17068,01/03/22,09:49:33,15000.0,530.0
701015,01/03/22,09:50:33,35000.0,90.0
4581419,01/03/22,09:50:51,100000.0,740.0
4499303,01/03/22,09:51:06,12000.0,90.0
8479101,01/03/22,09:51:18,150000.0,740.0
6141463,01/03/22,09:51:39,25000.0,120.0
3118287,01/03/22,09:51:44,80000.0,280.0
19733008,01/03/22,09:53:07,20000.0,690.0
98386,01/03/22,09:53:31,35000.0,30.0
71881,01/03/22,09:53:35,81000.0,50.0
21736969,01/03/22,09:53:58,10000.0,130.0
5966959,01/03/22,09:54:13,50000.0,680.0
66418,01/03/22,09:54:16,100000.0,330.0
36238,01/03/22,09:54:36,16000.0,220.0
4549130,01/03/22,09:55:13,10000.0,60.0
7412988,01/03/22,09:55:16,86000.0,70.0
9527788,01/03/22,09:55:57,15000.0,20.0
12694238,01/03/22,09:56:20,43000.0,250.0
380904,01/03/22,09:56:23,30000.0,120.0
9049457,01/03/22,09:59:23,4075540.22,199.0
16572125,01/03/22,10:00:41,14000.0,220.0
831,01/03/22,10:00:41,260000.0,70.0
10768393,01/03/22,10:01:15,135000.0,220.0
6751446,01/03/22,10:01:32,20000.0,100.0
1852467,01/03/22,10:01:56,7000.0,220.0
9902184,01/03/22,10:02:44,51000.0,50.0
21445644,01/03/22,10:03:11,150000.0,70.0
11458209,01/03/22,10:03:40,5000.0,200.0
22858716,01/03/22,10:04:39,10000.0,530.0
9789852,01/03/22,10:05:36,41500.0,100.0
14456201,01/03/22,10:07:14,150000.0,60.0
7421155,01/03/22,10:07:23,30000.0,140.0
14401296,01/03/22,10:07:45,10000.0,200.0
992194,01/03/22,10:07:51,70000.0,280.0
14950785,01/03/22,10:07:59,30000.0,60.0
23913728,01/03/22,10:08:10,5000.0,300.0
22409158,01/03/22,10:08:55,5000.0,490.0
16013,01/03/22,10:08:57,500000.0,70.0
4619217,01/03/22,10:09:01,10000.0,220.0
8816742,01/03/22,10:09:04,30000.0,280.0
22715352,01/03/22,10:10:03,30000.0,470.0
15025069,01/03/22,10:10:08,50000.0,50.0
10778643,01/03/22,10:10:47,50000.0,50.0
66,01/03/22,10:11:00,50000.0,50.0
24988784,01/03/22,10:11:30,90000.0,50.0
69563,01/03/22,10:12:06,10000.0,150.0
2810007,01/03/22,10:12:18,50000.0,40.0
21580574,01/03/22,10:12:21,30000.0,300.0
3331773,01/03/22,10:12:49,15000.0,690.0
48283,01/03/22,10:13:38,68500.0,100.0
1131388,01/03/22,10:13:39,551500.0,60.0
9018778,01/03/22,10:14:06,22200.0,200.0
22834849,01/03/22,10:14:27,40000.0,100.0
11152996,01/03/22,10:14:28,10000.0,320.0
7704901,01/03/22,10:14:40,7200.0,220.0
5481386,01/03/22,10:14:43,7500.0,400.0
19986246,01/03/22,10:14:57,5000.0,60.0
120805,01/03/22,10:15:33,5000.0,120.0
8482335,01/03/22,10:15:57,10000.0,240.0
19997,01/03/22,10:16:15,126000.0,70.0
12803149,01/03/22,10:16:29,5300.0,320.0
24395229,01/03/22,10:16:51,20000.0,220.0
7204457,01/03/22,10:17:05,135000.0,100.0
48113,01/03/22,10:18:03,10000.0,500.0
3329445,01/03/22,10:18:42,150000.0,50.0
5596123,01/03/22,10:18:57,82900.0,90.0
62812,01/03/22,10:19:05,100000.0,50.0
643189,01/03/22,10:19:11,10000.0,220.0
71329,01/03/22,10:19:17,100000.0,30.0
58144,01/03/22,10:19:38,50000.0,70.0
4899166,01/03/22,10:20:02,12000.0,250.0
68926,01/03/22,10:20:05,50000.0,70.0
1907040,01/03/22,10:20:24,100000.0,50.0
72002,01/03/22,10:20:41,7000.0,210.0
5878606,01/03/22,10:21:32,20000.0,110.0
19730835,01/03/22,10:22:01,5000.0,70.0
25088953,01/03/22,10:22:39,11490.0,300.0
74159,01/03/22,10:22:45,150000.0,30.0
69535,01/03/22,10:22:49,150000.0,60.0
50166,01/03/22,10:23:15,100000.0,30.0
5545644,01/03/22,10:23:24,100000.0,190.0
13226537,01/03/22,10:23:51,200000.0,640.0
8224020,01/03/22,10:23:56,60000.0,280.0
131055,01/03/22,10:24:04,17200.0,280.0
9109979,01/03/22,10:24:15,15000.0,110.0
2044,01/03/22,10:24:47,7000.0,460.0
19405580,01/03/22,10:24:49,21857.85,169.0
8398324,01/03/22,10:25:20,18500.0,240.0
27444,01/03/22,10:25:31,50000.0,40.0
2938291,01/03/22,10:26:36,20000.0,60.0
11081911,01/03/22,10:26:50,6000.0,220.0
11661803,01/03/22,10:27:25,35000.0,80.0
15045509,01/03/22,10:28:36,20000.0,110.0
69426,01/03/22,10:29:08,10000.0,540.0
8795331,01/03/22,10:29:16,55000.0,150.0
24626332,01/03/22,10:29:26,72000.0,80.0
13455547,01/03/22,10:29:46,15000.0,130.0
5747193,01/03/22,10:30:13,30000.0,60.0
651129,01/03/22,10:30:46,65000.0,160.0
21379698,01/03/22,10:31:18,5000.0,200.0
59723,01/03/22,10:31:22,15000.0,720.0
697564,01/03/22,10:31:22,150000.0,40.0
14944186,01/03/22,10:31:29,40000.0,80.0
9949623,01/03/22,10:31:45,5855.0,380.0
70869,01/03/22,10:32:35,15000.0,80.0
70701,01/03/22,10:32:43,60000.0,30.0
3623462,01/03/22,10:32:43,40000.0,230.0
9382974,01/03/22,10:32:55,15000.0,160.0
70402,01/03/22,10:33:14,36000.0,80.0
4304261,01/03/22,10:33:20,15000.0,30.0
7919194,01/03/22,10:33:20,15000.0,230.0
7141827,01/03/22,10:33:21,25000.0,160.0
16917100,01/03/22,10:33:25,85000.0,30.0
2611551,01/03/22,10:33:34,118000.0,30.0
32258,01/03/22,10:34:27,15000.0,150.0
3869810,01/03/22,10:34:39,5000.0,410.0
2397094,01/03/22,10:35:00,20000.0,110.0
3180275,01/03/22,10:35:19,40000.0,580.0
4503276,01/03/22,10:36:06,12200.0,140.0
7349871,01/03/22,10:37:17,578225.15,130.0
273338,01/03/22,10:37:19,5000.0,330.0
434913,01/03/22,10:37:58,44000.0,110.0
2846921,01/03/22,10:39:11,20000.0,380.0
10107892,01/03/22,10:40:21,50000.0,260.0
2705269,01/03/22,10:40:40,5000.0,400.0
73366,01/03/22,10:41:51,61000.0,200.0
12930945,01/03/22,10:41:52,50000.0,210.0
7845402,01/03/22,10:43:07,10000.0,250.0
7389069,01/03/22,10:43:15,438000.0,100.0
6767915,01/03/22,10:43:21,190292.39,49.0
16303603,01/03/22,10:43:34,40000.0,50.0
12098943,01/03/22,10:43:50,41500.0,250.0
1696561,01/03/22,10:44:41,15000.0,200.0
12273568,01/03/22,10:44:46,50000.0,50.0
2903980,01/03/22,10:45:05,100000.0,20.0
5842308,01/03/22,10:45:33,20000.0,20.0
19401672,01/03/22,10:45:59,5000.0,380.0
32919,01/03/22,10:46:08,30000.0,100.0
7508132,01/03/22,10:46:58,5000.0,340.0
5078621,01/03/22,10:47:20,15000.0,70.0
14438941,01/03/22,10:47:22,25000.0,170.0
10462485,01/03/22,10:47:30,15000.0,220.0
11078203,01/03/22,10:47:54,5000.0,20.0
4290376,01/03/22,10:48:16,120000.0,40.0
18280081,01/03/22,10:48:34,10000.0,210.0
196257,01/03/22,10:48:53,60000.0,180.0
8377085,01/03/22,10:49:06,500000.0,70.0
63398,01/03/22,10:49:39,150000.0,90.0
3509711,01/03/22,10:49:58,150000.0,60.0
6286119,01/03/22,10:50:40,100000.0,340.0
3902903,01/03/22,10:50:49,10000.0,440.0
19984820,01/03/22,10:51:00,100000.0,30.0
4600277,01/03/22,10:51:04,10000.0,20.0
122440,01/03/22,10:52:10,10000.0,260.0
3812916,01/03/22,10:52:22,50000.0,210.0
141236,01/03/22,10:53:16,125000.0,70.0
438945,01/03/22,10:53:26,20000.0,640.0
11300645,01/03/22,10:53:38,10000.0,200.0
3454983,01/03/22,10:53:41,10000.0,160.0
7605215,01/03/22,10:53:41,15000.0,550.0
23966617,01/03/22,10:53:47,11000.0,110.0
63864,01/03/22,10:53:53,55000.0,50.0
25343606,01/03/22,10:54:08,15000.0,540.0
9759167,01/03/22,10:54:17,80000.0,270.0
21379698,01/03/22,10:55:14,12000.0,150.0
1838,01/03/22,10:56:09,15000.0,190.0
202482,01/03/22,10:56:25,100000.0,30.0
7926860,01/03/22,10:57:20,100000.0,40.0
7391779,01/03/22,10:57:31,7300.0,190.0
19240832,01/03/22,10:58:34,5000.0,300.0
19490853,01/03/22,10:58:35,30000.0,380.0
8663156,01/03/22,10:59:01,50000.0,90.0
595267,01/03/22,10:59:14,6250.0,70.0
882137,01/03/22,11:00:19,100000.0,50.0
8855829,01/03/22,11:00:24,10000.0,500.0
10465385,01/03/22,11:00:36,36000.0,300.0
5171351,01/03/22,11:00:44,8000.0,280.0
410886,01/03/22,11:01:12,5000.0,170.0
6907499,01/03/22,11:01:20,30000.0,90.0
12508610,01/03/22,11:01:29,100000.0,20.0
17443893,01/03/22,11:01:46,100000.0,90.0
10983023,01/03/22,11:01:50,5000.0,530.0
410886,01/03/22,11:01:51,5000.0,170.0
8581383,01/03/22,11:03:27,6900.0,690.0
72110,01/03/22,11:03:54,30000.0,140.0
9560700,01/03/22,11:04:09,100000.0,90.0
5201795,01/03/22,11:04:51,25000.0,60.0
5488303,01/03/22,11:05:08,30000.0,130.0
22640938,01/03/22,11:05:32,5000.0,130.0
73597,01/03/22,11:05:42,50000.0,390.0
5802401,01/03/22,11:05:52,6000.0,130.0
70180,01/03/22,11:06:15,15000.0,290.0
8823965,01/03/22,11:06:27,22000.0,140.0
87966,01/03/22,11:06:55,8500.0,190.0
212875,01/03/22,11:07:12,100000.0,400.0
201067,01/03/22,11:07:54,42000.0,280.0
21585233,01/03/22,11:08:12,4032.26,679.0
7197144,01/03/22,11:08:46,79575.6,190.0
470716,01/03/22,11:09:21,8000.0,300.0
190917,01/03/22,11:09:30,500000.0,20.0
16631679,01/03/22,11:09:34,50000.0,340.0
26696,01/03/22,11:09:42,12000.0,60.0
410886,01/03/22,11:09:44,10000.0,160.0
283264,01/03/22,11:09:57,200000.0,170.0
14376302,01/03/22,11:10:34,78125.0,470.0
6268622,01/03/22,11:11:07,20000.0,160.0
766685,01/03/22,11:11:43,10001.0,219.0
10952041,01/03/22,11:12:17,65000.0,90.0
1858417,01/03/22,11:12:20,20000.0,220.0
22310204,01/03/22,11:12:46,5000.0,370.0
17766474,01/03/22,11:12:50,9000.0,320.0
4557510,01/03/22,11:12:56,20000.0,120.0
4536985,01/03/22,11:13:04,70000.0,90.0
24188913,01/03/22,11:13:40,25000.0,690.0
663488,01/03/22,11:14:06,12000.0,30.0
375523,01/03/22,11:14:13,20000.0,50.0
70857,01/03/22,11:14:15,25000.0,480.0
87966,01/03/22,11:14:37,1500.0,150.0
16703879,01/03/22,11:14:45,1500000.0,200.0
4337798,01/03/22,11:15:22,10000.0,260.0
8888260,01/03/22,11:15:23,40000.0,260.0
3363521,01/03/22,11:15:29,35000.0,50.0
4854628,01/03/22,11:15:53,30000.0,120.0
37232,01/03/22,11:16:10,20000.0,120.0
5009380,01/03/22,11:16:24,10000.0,120.0
2293455,01/03/22,11:16:52,40000.0,190.0
33247,01/03/22,11:17:03,45000.0,120.0
70587,01/03/22,11:18:01,75000.0,170.0
1134634,01/03/22,11:18:39,10000.0,370.0
71677,01/03/22,11:18:56,50000.0,170.0
12494323,01/03/22,11:19:08,25000.0,70.0
24149726,01/03/22,11:19:11,60000.0,120.0
24488069,01/03/22,11:19:26,12000.0,70.0
411455,01/03/22,11:19:46,5000.0,50.0
23796953,01/03/22,11:20:10,10000.0,120.0
17001542,01/03/22,11:20:18,73000.0,50.0
72839,01/03/22,11:21:51,20000.0,20.0
23609692,01/03/22,11:22:24,6158.42,429.0
4902362,01/03/22,11:23:07,100000.0,130.0
111,01/03/22,11:23:07,21000.0,150.0
1722232,01/03/22,11:23:22,43000.0,50.0
6506639,01/03/22,11:23:36,46000.0,110.0
6915991,01/03/22,11:23:51,5000.0,630.0
2880974,01/03/22,11:23:57,250000.0,40.0
10417584,01/03/22,11:24:15,38600.0,100.0
8823965,01/03/22,11:24:32,5000.0,230.0
12501014,01/03/22,11:24:33,50000.0,350.0
24633213,01/03/22,11:25:06,180000.0,630.0
8788905,01/03/22,11:25:11,1000000.0,130.0
22935765,01/03/22,11:25:28,892546.75,19.0
11298680,01/03/22,11:25:38,7500.0,700.0
22935765,01/03/22,11:26:10,92992.95,20.0
71713,01/03/22,11:26:19,8000.0,80.0
2637615,01/03/22,11:26:41,5000.0,60.0
22935765,01/03/22,11:26:47,41186.51,19.0
6173579,01/03/22,11:26:59,5000.0,60.0
8540801,01/03/22,11:27:03,6000.0,450.0
10227016,01/03/22,11:27:23,75000.0,130.0
11739004,01/03/22,11:28:01,25000.0,480.0
2208633,01/03/22,11:28:34,300000.0,50.0
22035785,01/03/22,11:28:58,24000.0,650.0
9839586,01/03/22,11:29:04,45000.0,30.0
2949727,01/03/22,11:29:51,23000.0,150.0
17001542,01/03/22,11:30:14,7000.0,50.0
9877639,01/03/22,11:30:23,60000.0,80.0
13118977,01/03/22,11:30:59,3650.0,290.0
3080934,01/03/22,11:31:10,21500.0,200.0
5875750,01/03/22,11:31:47,20000.0,60.0
24043277,01/03/22,11:32:03,17000.0,680.0
6447917,01/03/22,11:32:06,10000.0,470.0
14391622,01/03/22,11:32:29,10000.0,260.0
572058,01/03/22,11:32:30,25000.0,70.0
18414236,01/03/22,11:32:47,66000.0,180.0
14566,01/03/22,11:32:47,700000.0,20.0
54108,01/03/22,11:33:02,48000.0,60.0
13942901,01/03/22,11:33:03,16000.0,360.0
9360891,01/03/22,11:34:00,5500.0,190.0
69361,01/03/22,11:34:03,120000.0,40.0
24056212,01/03/22,11:34:07,20000.0,220.0
6314254,01/03/22,11:34:36,5000.0,160.0
4642550,01/03/22,11:34:54,113000.0,110.0
5825372,01/03/22,11:35:09,7000.0,420.0
19982090,01/03/22,11:36:11,5000.0,40.0
14859771,01/03/22,11:36:54,23268.11,89.0
3483705,01/03/22,11:36:59,50000.0,110.0
3359010,01/03/22,11:37:16,43000.0,50.0
5081664,01/03/22,11:37:52,40000.0,660.0
16922638,01/03/22,11:39:09,40000.0,220.0
15121655,01/03/22,11:39:31,145000.0,50.0
6448833,01/03/22,11:39:49,17000.0,280.0
50957,01/03/22,11:39:57,50000.0,80.0
9267997,01/03/22,11:39:58,15000.0,530.0
5051033,01/03/22,11:39:59,50000.0,230.0
36315,01/03/22,11:40:19,650000.0,340.0
21526264,01/03/22,11:40:32,3000.0,590.0
7498128,01/03/22,11:41:19,5000.0,50.0
40715,01/03/22,11:41:40,16000.0,560.0
8735064,01/03/22,11:41:40,7000.0,200.0
69542,01/03/22,11:42:35,10000.0,110.0
22437098,01/03/22,11:43:17,20000.0,110.0
10575748,01/03/22,11:43:23,300000.0,20.0
6929944,01/03/22,11:43:34,20000.0,460.0
19839918,01/03/22,11:44:03,50000.0,660.0
3921737,01/03/22,11:44:09,14000.0,130.0
12412848,01/03/22,11:44:16,35000.0,300.0
21641740,01/03/22,11:44:27,50000.0,660.0
12633827,01/03/22,11:44:37,5000.0,460.0
2893793,01/03/22,11:45:08,90000.0,70.0
181411,01/03/22,11:45:22,100000.0,160.0
115963,01/03/22,11:45:38,20000.0,120.0
11280316,01/03/22,11:46:13,10000.0,300.0
2945194,01/03/22,11:46:25,20000.0,300.0
12030170,01/03/22,11:46:49,115000.0,40.0
4498241,01/03/22,11:46:51,10000.0,120.0
8394036,01/03/22,11:47:10,80000.0,70.0
6037462,01/03/22,11:47:10,8000.0,470.0
5252794,01/03/22,11:47:15,25000.0,290.0
8394036,01/03/22,11:47:45,110000.0,70.0
20960,01/03/22,11:47:54,5000.0,200.0
338018,01/03/22,11:48:06,30000.0,70.0
338018,01/03/22,11:48:34,40000.0,70.0
15224,01/03/22,11:50:33,10000.0,20.0
7768504,01/03/22,11:50:48,100000.0,120.0
76039,01/03/22,11:51:11,150000.0,570.0
11205374,01/03/22,11:53:18,8000.0,630.0
2050842,01/03/22,11:53:51,25000.0,240.0
26109,01/03/22,11:55:14,20000.0,20.0
300962,01/03/22,11:55:40,8000.0,370.0
17490,01/03/22,11:56:19,55000.0,50.0
8662747,01/03/22,11:56:43,11000.0,630.0
5864334,01/03/22,11:57:17,12000.0,280.0
69029,01/03/22,11:57:25,200000.0,130.0
6559996,01/03/22,11:57:33,20000.0,110.0
955278,01/03/22,11:59:07,10000.0,330.0
11945675,01/03/22,12:00:02,41000.0,200.0
31716,01/03/22,12:00:03,48300.0,110.0
44402,01/03/22,12:00:28,16000.0,160.0
70314,01/03/22,12:01:32,100000.0,100.0
72871,01/03/22,12:01:33,100000.0,50.0
358565,01/03/22,12:01:36,15000.0,70.0
43878,01/03/22,12:02:22,20000.0,170.0
4865508,01/03/22,12:02:32,30000.0,80.0
14556942,01/03/22,12:02:39,10000.0,170.0
9023520,01/03/22,12:02:50,5200.0,70.0
3032009,01/03/22,12:03:23,35000.0,110.0
3916342,01/03/22,12:03:37,20000.0,270.0
13522801,01/03/22,12:03:44,20000.0,200.0
7087109,01/03/22,12:04:10,23343.69,689.0
69964,01/03/22,12:04:30,103000.0,20.0
71619,01/03/22,12:05:27,100000.0,20.0
14315176,01/03/22,12:05:31,10000.0,90.0
12549193,01/03/22,12:05:41,7500.0,410.0
6104401,01/03/22,12:06:00,35000.0,120.0
6840763,01/03/22,12:06:01,80000.0,400.0
24917290,01/03/22,12:06:18,455000.0,70.0
3861128,01/03/22,12:07:33,5000.0,660.0
8822376,01/03/22,12:07:46,40000.0,110.0
73700,01/03/22,12:08:53,5000.0,270.0
49419,01/03/22,12:09:24,30000.0,120.0
1784510,01/03/22,12:09:54,10000.0,300.0
3726978,01/03/22,12:10:40,10000.0,300.0
3423599,01/03/22,12:11:12,39500.0,40.0
21243440,01/03/22,12:11:52,5000.0,310.0
8638644,01/03/22,12:12:19,5000.0,240.0
8497384,01/03/22,12:12:25,370000.0,120.0
77184,01/03/22,12:12:43,8000.0,240.0
7005635,01/03/22,12:13:03,55000.0,420.0
3129910,01/03/22,12:13:49,20000.0,130.0
21284,01/03/22,12:14:43,13000.0,170.0
13158003,01/03/22,12:14:48,40000.0,20.0
69157,01/03/22,12:14:53,110000.0,130.0
8380509,01/03/22,12:15:34,16000.0,80.0
69157,01/03/22,12:15:36,10000.0,130.0
10829810,01/03/22,12:15:39,35000.0,230.0
3241883,01/03/22,12:15:45,35000.0,210.0
3461368,01/03/22,12:16:09,20000.0,150.0
73236,01/03/22,12:16:28,12000.0,130.0
16917100,01/03/22,12:16:29,100000.0,50.0
50430,01/03/22,12:17:16,5000.0,730.0
631857,01/03/22,12:17:49,20000.0,20.0
71654,01/03/22,12:17:56,20000.0,60.0
32070,01/03/22,12:18:03,16300.0,330.0
16526,01/03/22,12:18:57,30000.0,200.0
22715352,01/03/22,12:20:06,10000.0,430.0
15352,01/03/22,12:20:21,100000.0,90.0
22921011,01/03/22,12:20:39,71000.0,20.0
7389069,01/03/22,12:20:50,67000.0,120.0
26755,01/03/22,12:21:29,5000.0,90.0
54108,01/03/22,12:21:53,7500.0,90.0
8224060,01/03/22,12:22:27,11000.0,190.0
20626,01/03/22,12:22:44,55000.0,30.0
2322195,01/03/22,12:22:44,7000.0,130.0
10252934,01/03/22,12:22:52,200000.0,110.0
17571256,01/03/22,12:23:08,250000.0,20.0
7037948,01/03/22,12:23:25,117500.0,80.0
7400845,01/03/22,12:24:05,41000.0,140.0
9048277,01/03/22,12:24:10,100000.0,60.0
10980574,01/03/22,12:24:12,250000.0,60.0
4884295,01/03/22,12:24:25,30000.0,140.0
8640958,01/03/22,12:24:38,10000.0,130.0
58861,01/03/22,12:24:55,100000.0,210.0
2940893,01/03/22,12:25:27,6000.0,130.0
3213329,01/03/22,12:25:41,6000.0,690.0
22396310,01/03/22,12:25:43,10000.0,20.0
10252093,01/03/22,12:25:48,20000.0,160.0
14654,01/03/22,12:25:50,100000.0,360.0
61212,01/03/22,12:25:56,66000.0,20.0
80651,01/03/22,12:26:04,16500.0,480.0
12271204,01/03/22,12:26:15,500000.0,50.0
19561864,01/03/22,12:26:20,5000.0,160.0
22839518,01/03/22,12:26:36,40000.0,30.0
7961765,01/03/22,12:26:47,45000.0,50.0
8822376,01/03/22,12:26:57,30000.0,100.0
19865961,01/03/22,12:27:29,15000.0,70.0
22554335,01/03/22,12:28:00,20000.0,30.0
55312,01/03/22,12:28:39,50000.0,30.0
71115,01/03/22,12:29:09,10000.0,300.0
19465671,01/03/22,12:30:03,98689.34,109.0
6850036,01/03/22,12:30:07,100000.0,20.0
96904,01/03/22,12:30:27,400000.0,20.0
75909,01/03/22,12:30:27,8000.0,400.0
6531628,01/03/22,12:31:19,30000.0,130.0
133716,01/03/22,12:31:29,45000.0,520.0
11420586,01/03/22,12:31:56,50000.0,70.0
21225845,01/03/22,12:32:21,15000.0,320.0
19765426,01/03/22,12:32:22,29000.0,90.0
5632513,01/03/22,12:33:16,30000.0,570.0
6816265,01/03/22,12:33:45,11000.0,100.0
548944,01/03/22,12:33:47,35000.0,90.0
3967782,01/03/22,12:34:37,45000.0,70.0
5679180,01/03/22,12:34:51,44000.0,60.0
3822072,01/03/22,12:35:45,36000.0,500.0
14494207,01/03/22,12:36:59,50000.0,90.0
66348,01/03/22,12:37:16,100000.0,20.0
16924246,01/03/22,12:37:51,50000.0,90.0
13685597,01/03/22,12:38:11,160000.0,50.0
26533375,01/03/22,12:38:19,150000.0,130.0
2384369,01/03/22,12:38:31,5000.0,320.0
21336585,01/03/22,12:38:45,30000.0,160.0
65069,01/03/22,12:38:48,25000.0,50.0
71883,01/03/22,12:39:44,30000.0,40.0
6107730,01/03/22,12:39:53,160000.0,100.0
9303932,01/03/22,12:40:02,9000.0,230.0
23470389,01/03/22,12:40:41,5200.0,500.0
2756698,01/03/22,12:41:44,30000.0,350.0
53652,01/03/22,12:41:47,20000.0,30.0
40860,01/03/22,12:42:01,50000.0,600.0
6952009,01/03/22,12:42:24,50000.0,600.0
25552949,01/03/22,12:42:36,50000.0,110.0
14409005,01/03/22,12:43:01,57000.0,520.0
15098220,01/03/22,12:43:03,20000.0,600.0
50424,01/03/22,12:43:06,30000.0,50.0
4584784,01/03/22,12:44:59,10000.0,130.0
13947,01/03/22,12:45:20,10000.0,150.0
22335498,01/03/22,12:45:57,10000.0,100.0
15053,01/03/22,12:46:29,45000.0,70.0
2725370,01/03/22,12:47:11,2350000.0,320.0
6112575,01/03/22,12:48:23,65000.0,50.0
8857495,01/03/22,12:48:26,200000.0,250.0
6292206,01/03/22,12:48:56,150000.0,70.0
71333,01/03/22,12:49:25,50000.0,40.0
6806980,01/03/22,12:49:34,10000.0,70.0
13886,01/03/22,12:49:37,150000.0,200.0
22219699,01/03/22,12:49:37,5000.0,230.0
3734787,01/03/22,12:49:49,60000.0,120.0
3291430,01/03/22,12:50:13,23798.0,70.0
6120742,01/03/22,12:50:18,100000.0,70.0
66518,01/03/22,12:51:02,100000.0,80.0
24999684,01/03/22,12:51:24,5000.0,470.0
17574179,01/03/22,12:52:21,9000.0,170.0
4513309,01/03/22,12:52:27,10000.0,200.0
70536,01/03/22,12:52:41,110000.0,60.0
1951687,01/03/22,12:53:03,55000.0,190.0
80632,01/03/22,12:53:32,362158.91,79.0
63584,01/03/22,12:53:40,30000.0,550.0
45959,01/03/22,12:53:40,15000.0,60.0
12680444,01/03/22,12:55:31,25000.0,670.0
5373085,01/03/22,12:56:06,240996.0,30.0
21619620,01/03/22,12:56:41,12400.0,490.0
11858454,01/03/22,12:56:56,25000.0,170.0
15644,01/03/22,12:57:10,8211.92,179.0
19290834,01/03/22,12:57:11,15000.0,230.0
16199121,01/03/22,12:57:20,13415.62,659.0
12901207,01/03/22,12:58:02,58500.0,80.0
16199121,01/03/22,12:58:13,13415.62,659.0
12693277,01/03/22,12:58:26,15000.0,130.0
